Name;Routing;;;
WBGR_WBKL4;WBGR VMI BRU VLB WBKL;;;
WBGR_WBKL5;WBGR VMI BRU VLB WBKL;;;
WBGR_WMKK1;WBGR VMI SAKMA OLKIT TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;
WBGR_WMKK2;WBGR VMI TERIX LUSMO IDSEL PADLI SAROX VKL WMKK;;;
WBGR_WMKK3;WBGR VMI SAKMA DARMU KAMIN KIBOL VPT SAROX VKL WMKK;;;
WBGR_WMKK4;WBGR VMI SAKMA OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBGR_WMKK5;WBGR VMI TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBGR_WMKK6;WBGR VMI SAKMA OLKIT TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBGR_WMKK7;WBGR VMI TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBGR_WMKK8;WBGR VMI TERIX LUSMO IDSEL VPK ISTAN VKL WMKK;;;
WBGR_WMKP1;WBGR VMI TERIX LUSMO IDSEL VPK ADNUT PIBOS VBA SUKAT TEPUS VPG WMKP;;; 
WBGR_WSSS1;WBGR VMI SAKMA DARMU KAMIN TOMAN HOSBA VTK WSSS;;;
WBGS_WBGB1;WBGS VSI VBU WBGB;;; 
WBGS_WBGG1;WBGS VSI VKG WBGG;;; 
WBGS_WBGG2;WBGS VSI VKG WBGG;;; 
WBGS_WBGG3;WBGS VSI VKG WBGG;;; 
WBGS_WBGG4;WBGS VSI VKG WBGG;;; 
WBGS_WBGG5;WBGS VSI VKG WBGG;;; 
WBGS_WBGG6;WBGS VSI VKG WBGG;;; 
WBGS_WBGG7;WBGS VSI VKG WBGG;;; 
WBGS_WBGR1;WBGS VSI VBU VMI WBGR;;;
WBGS_WBGR2;WBGS VSI VBU VMI WBGR;;;
WBGS_WBGR3;WBGS VSI VBU VMI WBGR;;;
WBGS_WBKK1;WBGS VSI AGDAB VBU KADMO BRU VJN WBKK;;; 
WBGS_WBKK2;WBGS VSI VBU VMI BRU VJN WBKK;;;  
WBGS_WMKJ1;WBGS VSI VKG NIMIX TOMAN HOSBA VTK VJR WMKJ;;;
WBGS_WMKK1;WBGS VSI AGPOP OKTOG AGOBA SABIP BOBOB KETOD PADLI SAROX VKL WMKK;;;  
WBGS_WMKK2;WBGS VSI VKG AGOBA SABIP BOBOB KETOD PADLI SAROX VKL WMKK;;;
WBGS_WMKK3;WBGS VSI VKG AGOBA SABIP BOBOB KETOD PADLI SAROX VKL WMKK;;;
WBGS_WMKK4;WBGS VSI VKG AGOBA SABIP BOBOB KETOD OBDAB VPK ISTAN VKL WMKK;;;  
